"RespID","wgtpop (in 10's)","wgthh (in 10's)","I am happy with my weight {sumax(X16600,C4,X16601,C3,X16602,C2,X16599,C1)}","Household Income {sumax(X85317370,C4.00,X85317368,C14.00,X85317373,C24.00,X85317369,C34.00,X85317374,C44.00,X24925,C54.00,X24935,C67.00,X24938,C87.00,X85317371,C112.00,X85317372,C137.00,X24929,C174.00,X24924,C224.00,X70839,C299.00,X70840,C424.00,X70841,C500.00)}","I am as close to my friend group as I am to my family {sumax(X91585726,C4,X91589417,C3,X91590927,C2,X91588007,C1)}","Faith: Holding to religious faith and belief {sumax(X14833,C2.5,X14834,C1,X14835,C4)}","I am perfectly happy with my standard of living {sumax(X91583243,C4,X91591993,C3,X91592876,C2,X91586625,C1)}","Politics {sumax(X61206,C1,X61209,C2,X61208,C3,X61210,C4,X61207,C5)}"
85001W858VHMVUZ,82,41,4,424,2,4,2,5
85001W858WEZ5J9,511,127,3,137,3,4,3,3
85001W858WHH24H,422,210,4,112,2,1,3,2
85001W858WV23CT,274,136,2,14,2,1,3,5
85001W858ZQNU7K,634,317,2,54,2,4,2,2
85001W85924BFVM,70,70,2,87,3,1,3,3
85001W8592K8FER,166,83,3,299,3,4,3,2
85001W8594JZ4Y7,676,339,1,112,4,1,3,5
85001W8596DVUFN,208,105,1,174,3,1,1,2
85001W85981TN6J,441,220,4,299,3,1,4,2
85001W859BBXE51,136,44,3,87,3,1,1,2
85001W859BWQJC4,304,151,3,174,2,4,3,5
85001W859C1GFAX,261,262,1,4,2,2,1,3
85001W859C9BQWQ,317,318,2,87,1,1,2,5
85001W859CU82XD,101,102,1,34,2,2,2,2
85001W859CWNRU2,154,50,3,112,2,4,3,3
85001W859E4FXWK,940,236,3,24,2,4,3,1
85001W859E77FNA,107,21,2,44,1,4,4,5
85001W859E9JVTK,150,75,2,174,2,4,3,4
85001W859EBCAFC,144,72,3,24,2,4,3,3
85001W859ETE2AY,426,213,4,174,4,4,4,3
85001W859FR8FM3,236,235,2,87,3,4,4,3
85001W859H381DV,176,88,3,24,2,4,3,5
85001W859J2WWYK,110,55,2,44,1,4,3,2
85001W859K3NWUV,333,166,2,174,1,4,4,2
85001W859P8Y2GW,174,87,2,224,3,4,4,4
85001W859PDJVAF,739,185,2,174,2,4,3,2
