"RespID","wgtpop (in 10's)","wgthh (in 10's)","I am happy with my weight {sumax(X16600,C4.000000,C4.000000,X16601,C3.000000,C3.000000,X16602,C2.000000,C2.000000,X16599,C1.000000,C1.000000)}","Household Income {sumax(X85317370,C4.00,X85317368,C14.00,X85317373,C24.00,X85317369,C34.00,X85317374,C44.00,X24925,C54.00,X24935,C67.00,X24938,C87.00,X85317371,C112.00,X85317372,C137.00,X24929,C174.00,X24924,C224.00,X70839,C299.00,X70840,C424.00,X70841,C500.00)}","I am as close to my friend group as I am to my family {sumax(X91585726,C4.000000,C4.000000,X91589417,C3.000000,C3.000000,X91590927,C2.000000,C2.000000,X91588007,C1.000000,C1.000000)}","Faith: Holding to religious faith and belief {sumax(X14833,C2.500000,C2.500000,X14834,C1.000000,C1.000000,X14835,C4.000000,C4.000000)}","I am perfectly happy with my standard of living {sumax(X91583243,C4.000000,X91591993,C3.000000,X91592876,C2.000000,X91586625,C1.000000)}","Very Conservative {X61206}","Somewhat Conservative {X61209}","Middle of the Road {X61208}","Somewhat Liberal {X61210}","Very Liberal {X61207}"
87001W876CAMBSS,80,80,4,4,3,1,3,1,0,0,0,0
87001W876CDAZ1P,105,53,4,424,3,2,3,0,0,0,1,0
87001W876F52TA2,183,180,3,4,4,2,3,0,0,0,0,1
87001W876FPVK8A,637,209,3,54,4,1,4,0,1,0,0,0
87001W876FPWEES,70,23,4,112,3,1,1,0,0,1,0,0
87001W876GR2QRB,70,35,4,112,4,1,4,0,0,1,0,0
87001W876GW9YBW,70,35,4,24,3,1,4,0,0,0,1,0
87001W876HMJZ7H,86,43,3,299,4,2,2,0,0,0,0,1
87001W876JNE6MY,161,79,3,174,4,2,4,0,0,0,1,0
87001W876JWGZBF,273,269,4,54,3,2,3,0,0,1,0,0
87001W876KAQ6WN,257,129,3,174,4,2,4,0,1,0,0,0
87001W876KG5B4C,1114,556,4,137,3,2,4,0,0,1,0,0
87001W876KMT1KF,294,147,4,112,4,1,3,1,0,0,0,0
87001W876KSZX7E,277,276,4,137,3,2,2,0,0,0,1,0
87001W876KZ2FN8,138,138,3,4,3,1,2,0,0,1,0,0
87001W876N84URU,568,280,4,174,3,2,4,0,0,1,0,0
87001W876NCWS9A,904,300,3,54,4,1,4,0,1,0,0,0
87001W876R5CSB9,169,83,3,4,4,2,3,0,0,1,0,0
87001W876SUMKGW,170,168,3,137,3,2,2,0,0,0,0,1
87001W876TCK9CG,100,50,4,112,4,1,4,0,1,0,0,0
87001W876U1GGAV,294,293,3,14,3,1,2,0,0,0,0,1
87001W876U7E75P,1815,603,4,67,3,1,3,0,0,0,1,0
87001W876X1RAD8,87,44,4,67,4,1,4,0,0,1,0,0
87001W876XP6SQ8,222,109,4,299,4,1,3,0,1,0,0,0
87001W876YSX88U,184,90,3,174,3,1,3,0,1,0,0,0
87001W87716DTZE,70,23,4,112,4,1,3,0,1,0,0,0
87001W8771GFA2A,643,321,3,424,4,2,3,0,1,0,0,0
87001W87727E873,675,337,4,174,4,1,3,0,0,1,0,0
87001W8773JFG67,70,23,4,112,4,1,3,0,0,1,0,0
87001W8773VE7AU,70,35,4,67,3,1,3,0,1,0,0,0
87001W8773WK7TK,470,157,3,174,4,2,3,0,0,1,0,0
87001W877524UUT,351,69,4,87,4,2,3,0,0,0,1,0
87001W8776E13AW,322,107,3,174,4,1,3,0,1,0,0,0
87001W877A5KY18,503,496,4,14,3,1,4,0,0,1,0,0
87001W877ATVT3J,70,70,4,87,4,1,4,1,0,0,0,0
87001W877B4Z88J,183,90,4,424,3,1,4,1,0,0,0,0
87001W877B548SU,116,58,4,299,3,2,3,0,0,1,0,0
87001W877CCS6ZN,70,35,4,87,3,1,3,0,0,0,0,1
87001W877D9QEXE,447,223,4,224,4,2,4,0,1,0,0,0
87001W877DG67H1,84,42,4,137,3,1,3,0,0,0,0,1
87001W877JQRZYK,193,95,3,87,3,1,3,0,0,0,1,0
87001W877K899RY,2024,404,4,424,3,2,2,0,0,1,0,0
87001W877M1W751,182,179,3,14,3,1,3,0,0,1,0,0
87001W877M6QM6Y,150,148,4,44,4,2,2,0,0,0,1,0
87001W877NS2ACU,70,23,4,112,3,1,3,1,0,0,0,0
87001W877NTXYGC,490,483,4,137,4,2,3,0,0,0,1,0
87001W877QB544H,71,70,4,4,3,1,2,0,0,1,0,0
87001W877RCSRRR,75,75,4,224,4,1,3,0,0,0,1,0
87001W877S5WVGG,503,248,4,174,3,1,3,0,0,1,0,0
87001W877TZ2Z8E,70,23,4,14,3,1,3,0,0,1,0,0
87001W877UCVAEE,514,513,3,137,3,2,2,0,1,0,0,0
87001W877US8F31,828,408,3,299,3,1,3,0,0,1,0,0
87001W877V9K5EA,210,207,4,24,4,2,1,0,1,0,0,0
87001W877VP4HEN,223,110,4,87,4,1,3,0,0,1,0,0
87001W877WBC5DE,70,35,4,87,4,1,3,0,0,1,0,0
87001W877XK5BE7,99,33,4,112,3,1,1,1,0,0,0,0
87001W877YBRZB1,299,298,3,24,3,1,3,0,0,0,1,0
87001W877YGHJTK,208,104,4,44,3,2,3,0,0,1,0,0
87001W8782ZCMQ8,459,227,3,174,3,1,3,0,0,1,0,0
87001W87833ZV7D,220,110,4,67,3,2,3,0,0,1,0,0
87001W878361Z3K,418,412,4,87,4,2,3,0,0,1,0,0
87001W87847TCDE,292,73,4,174,3,1,3,0,0,1,0,0
87001W8784DU5XA,632,210,4,24,3,1,2,0,1,0,0,0
87001W8784E1H8Q,70,23,4,224,4,1,3,0,0,1,0,0
87001W8784URUFF,134,34,4,87,3,1,1,0,0,1,0,0
87001W8785YKU4A,77,39,4,44,3,1,2,0,0,0,0,1
87001W87864P76K,319,160,3,67,3,2,3,0,0,0,1,0
87001W87877XZ8V,866,214,4,87,3,2,1,0,0,0,1,0
87001W87882U8BT,70,35,4,4,4,1,4,0,0,1,0,0
87001W878AFEY8E,70,70,3,4,4,1,3,0,1,0,0,0
87001W878BMKDGJ,364,359,4,87,3,1,1,0,1,0,0,0
87001W878D24WVK,864,287,3,34,4,2,3,0,0,0,0,1
87001W878EJUWMA,105,35,3,299,3,1,4,0,1,0,0,0
87001W878EYA7MR,177,87,3,299,4,2,4,0,0,1,0,0
87001W878FVPVEB,70,70,3,4,4,2,3,0,0,1,0,0
87001W878FYQBU3,70,23,4,112,3,2,2,0,0,0,1,0
87001W878GYXVE4,70,35,3,4,4,2,1,1,0,0,0,0
87001W878GYXVGH,181,59,4,137,3,1,4,0,0,0,1,0
87001W878HM7XZR,333,81,3,174,4,1,4,1,0,0,0,0
87001W878KZYAJV,74,73,3,4,4,1,3,0,0,0,0,1
87001W878NYRMPM,772,385,4,424,3,1,2,0,0,1,0,0
87001W878P1KGZZ,146,29,4,112,3,2,2,0,0,0,1,0
87001W878P2JVG1,288,144,3,500,4,1,4,0,1,0,0,0
87001W878PBRSEV,164,41,3,34,3,1,4,0,0,0,1,0
87001W878Q5WP3W,350,173,4,14,4,1,3,0,1,0,0,0
87001W878QPQA7F,642,316,3,299,3,1,3,0,1,0,0,0
87001W878QYKGRY,212,106,3,424,4,2,3,0,0,0,0,1
87001W878R3XMVR,70,18,4,424,3,2,4,0,0,1,0,0
87001W878TQ14JF,184,92,4,24,3,2,3,0,0,0,1,0
87001W878U7ARSM,485,484,3,112,3,2,2,0,0,0,1,0
87001W878V9F2B8,117,39,4,67,3,1,3,0,0,1,0,0
87001W878VKCSCC,502,247,3,224,4,2,2,0,0,1,0,0
87001W878VVPU6Z,438,431,3,4,4,1,3,1,0,0,0,0
87001W878WCK8ZH,166,55,4,87,3,2,3,0,0,1,0,0
87001W878X58MJB,156,52,4,34,4,1,3,0,1,0,0,0
87001W878XMZ1HN,628,208,4,299,4,2,3,0,0,1,0,0
87001W878XYVY8Z,1195,589,4,54,3,1,3,0,0,0,0,1
87001W878ZH8TPM,145,143,4,87,3,1,1,0,0,0,0,1
87001W879323D96,262,261,3,174,3,2,2,0,0,0,1,0
87001W8794B3JSV,702,231,3,174,4,2,3,0,0,0,1,0
87001W8794QWN12,1173,390,4,174,4,1,3,0,0,1,0,0
87001W87953A3EA,1514,1509,4,14,3,1,3,0,0,1,0,0
87001W8795M119R,175,58,4,137,4,1,2,0,0,1,0,0
87001W8796MB8Z4,137,69,4,54,4,2,4,0,0,0,1,0
87001W8797NPURV,278,137,3,224,4,2,3,1,0,0,0,0
87001W879BDR4RS,70,23,4,112,3,1,4,0,0,0,0,1
87001W879BJUA4D,70,14,4,87,3,2,3,0,0,0,0,1
87001W879CX4UBZ,113,57,3,67,4,1,3,0,0,1,0,0
87001W879ECHF9H,97,49,4,500,4,1,4,0,0,1,0,0
87001W879EPFPFE,1037,1022,3,174,4,2,3,0,0,0,1,0
87001W879GPE9TC,92,90,4,87,3,2,1,0,0,0,1,0
87001W879JF9UPN,215,212,4,44,3,1,3,0,0,0,0,1
87001W879JZ434W,601,150,3,174,3,2,4,1,0,0,0,0
87001W879K2J6CE,161,81,4,87,3,2,3,0,0,1,0,0
87001W879N8P87S,352,347,3,54,4,2,3,0,0,1,0,0
87001W879NC24SQ,201,101,3,34,4,1,4,0,1,0,0,0
87001W879PRKG1H,1980,658,4,67,3,1,2,0,0,1,0,0
87001W879RHH2ZA,70,69,4,14,3,1,2,0,0,0,0,1
